,incident_num,lat,lng
201,E18010000214,32.793564,-117.255708
202,E18010000215,32.798562,-117.248108
203,E18010000216,32.948707,-117.249719
204,E18010000217,32.582288,-117.112411
205,E18010000218,32.565976,-117.066729
206,E18010000219,32.731392,-117.160285
207,E18010000220,32.566630,-117.052827
208,E18010000221,32.895361,-117.241558
209,E18010000222,32.796871,-117.255308
210,E18010000223,32.685367,-117.082074
211,E18010000224,32.711028,-117.151905
212,E18010000225,32.747257,-117.245409
213,E18010000226,32.753367,-117.106400
214,E18010000227,32.704912,-117.088608
215,E18010000228,32.832714,-117.276883
216,E18010000229,32.972786,-117.092426
217,E18010000230,32.941433,-117.129352
218,E18010000231,32.834493,-117.197763
219,E18010000232,32.712614,-117.151958
220,E18010000233,32.766356,-117.148850
221,E18010000235,32.583728,-117.040340
222,E18010000236,32.730430,-117.225795
223,E18010000237,32.766356,-117.148850
224,E18010000238,32.710756,-117.161300
225,E18010000239,32.749555,-117.093357
226,E18010000240,32.798562,-117.248108
227,E18010000241,32.793443,-117.255729
228,E18010000243,32.713740,-117.160284
229,E18010000244,32.796871,-117.255308
230,E18010000245,32.692911,-117.112409
231,E18010000246,32.794607,-117.044180
232,E18010000247,32.797759,-117.250005
233,E18010000248,32.715738,-117.161084
234,E18010000249,32.747886,-117.102066
235,E18010000250,32.731392,-117.160285
236,E18010000251,32.741301,-117.104859
237,E18010000252,32.582213,-117.050210
238,E18010000253,32.746053,-117.249272
239,E18010000254,32.710756,-117.161300
240,E18010000255,32.714023,-117.173055
241,E18010000256,32.713845,-117.121629
242,E18010000257,32.802141,-117.153563
243,E18010000258,32.785390,-117.129363
244,E18010000259,32.783485,-117.149808
245,E18010000260,32.550856,-117.045993
246,E18010000262,32.798562,-117.248108
247,E18010000263,32.773565,-117.154107
248,E18010000264,32.709552,-117.238583
249,E18010000265,32.706607,-117.132048
250,E18010000266,32.755657,-117.141070
251,E18010000267,32.695037,-117.064667
252,E18010000268,32.715809,-117.144933
253,E18010000269,32.710450,-117.156496
254,E18010000270,32.749540,-117.089604
255,E18010000271,32.953002,-117.240895
256,E18010000272,32.713740,-117.160284
257,E18010000273,32.803145,-117.151907
258,E18010000274,32.711542,-117.118682
259,E18010000275,32.753087,-117.086901
260,E18010000276,32.743133,-117.190628
261,E18010000277,32.724485,-117.121845
262,E18010000279,32.748457,-117.130146
263,E18010000280,32.731392,-117.160285
264,E18010000281,32.925008,-117.131012
265,E18010000283,32.815680,-117.270719
266,E18010000284,32.793312,-117.047407
267,E18010000285,32.810430,-117.255799
268,E18010000286,32.565976,-117.066729
269,E18010000287,32.786513,-117.094638
270,E18010000288,32.798730,-117.246275
271,E18010000289,32.783555,-117.171802
272,E18010000290,32.756453,-117.100820
273,E18010000291,32.784398,-117.252852
274,E18010000292,32.694946,-117.125313
275,E18010000293,32.548612,-117.034842
276,E18010000294,32.697577,-117.131543
